-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	447
-150	-145	2267
-145	-140	2599
-140	-135	2678
-135	-130	3571
-130	-125	3686
-125	-120	4816
-120	-115	5286
-115	-110	6579
-110	-105	7572
-105	-100	9627
-100	-95	10520
-95	-90	13136
-90	-85	14653
-85	-80	17534
-80	-75	18720
-75	-70	22070
-70	-65	23234
-65	-60	26741
-60	-55	27659
-55	-50	29892
-50	-45	29870
-45	-40	31597
-40	-35	30259
-35	-30	31238
-30	-25	29076
-25	-20	29196
-20	-15	26594
-15	-10	26005
-10	-5	23452
-5	0	62571
0	5	42571
5	10	27249
10	15	25220
15	20	23330
20	25	21564
25	30	19456
30	35	18407
35	40	16806
40	45	16137
45	50	14152
50	55	13053
55	60	11632
60	65	10332
65	70	10062
70	75	9596
75	80	8970
80	85	8963
85	90	8960
90	95	8334
95	100	7153
100	105	6484
105	110	5825
110	115	5034
115	120	4688
120	125	4113
125	130	3696
130	135	3280
135	140	3278
140	145	2509
145	150	2377
150	155	2259
155	160	2147
160	165	1660
165	170	1679
170	175	1402
175	180	1368
180	185	1216
185	190	1171
190	195	1105
195	200	1109
200	205	930
205	210	849
210	215	799
215	220	664
220	225	723
225	230	695
230	235	599
235	240	555
240	245	508
245	250	461
